,State,Area_Name,pov_all,pov_under17,median_income,no_high_school,no_bachelor,unemployment,pop,n_killed,n_injured,victims_involved,suspects_identified,teen_participants
1063,KY,Henry,19.0,31.0,"51,774",19.3,83.80000000000001,6.720000000000001,17110.2,1.0,2.0,3.0,8.0,1.0
1064,KY,Hickman,20.0,33.0,"39,859",24.8,91.19999999999999,6.42,4624.8,4.0,0.0,4.0,6.0,0.0
1065,KY,Hopkins,18.0,24.0,"43,590",14.5,84.9,6.139999999999999,45985.0,25.0,52.0,87.0,212.0,20.0
1066,KY,Jackson,32.0,41.0,"30,798",20.5,87.4,6.660000000000001,52325.8,15.0,16.0,28.0,23.0,1.0
1067,KY,Jefferson,15.0,21.0,"52,008",11.0,68.6,5.779999999999999,659460.4,25.0,34.0,57.0,65.0,11.0
1068,KY,Jessamine,16.0,21.0,"55,047",15.1,71.30000000000001,4.7,51667.0,4.0,4.0,9.0,16.0,1.0
1069,KY,Johnson,26.0,32.0,"35,408",21.0,84.1,5.8,26155.2,7.0,2.0,7.0,12.0,3.0
1070,KY,Kenton,13.0,18.0,"61,798",10.7,70.9,4.9399999999999995,163986.8,9.0,10.0,14.0,15.0,0.0
1071,KY,Knott,38.0,47.0,"29,786",28.3,87.1,11.28,15690.2,3.0,1.0,3.0,5.0,0.0
1072,KY,Knox,39.0,47.0,"27,432",12.0,81.9,6.6,51373.8,11.0,7.0,16.0,28.0,0.0
1073,KY,Larue,17.0,28.0,"44,522",15.9,89.2,5.86,14102.0,0.0,1.0,1.0,0.0,0.0
1074,KY,Laurel,23.0,32.0,"38,323",22.2,87.4,7.080000000000001,59900.6,17.0,20.0,62.0,61.0,6.0
1075,KY,Lawrence,27.0,34.0,"33,757",22.5,89.8,7.26,33288.2,16.0,8.0,24.0,48.0,2.0
1076,KY,Lee,39.0,53.0,"25,372",11.3,65.6,5.12,156596.6,8.0,9.0,21.0,25.0,4.0
1077,KY,Leslie,32.0,39.0,"28,595",36.3,90.30000000000001,12.98,10647.6,0.0,9.0,9.0,5.0,2.0
1078,KY,Letcher,32.0,45.0,"29,308",24.9,88.7,12.24,23011.4,4.0,2.0,5.0,5.0,0.0
1079,KY,Lewis,27.0,38.0,"32,848",10.6,84.0,5.56,3824.4,5.0,4.0,11.0,10.0,0.0
1080,KY,Lincoln,23.0,32.0,"35,934",20.9,92.1,6.08,13884.6,4.0,4.0,16.0,16.0,2.0
1081,KY,Livingston,15.0,24.0,"45,229",11.7,84.80000000000001,5.860000000000001,36812.4,2.0,3.0,2.0,3.0,0.0
1082,KY,Logan,18.0,26.0,"43,985",17.2,87.0,5.64,21801.6,1.0,2.0,1.0,4.0,0.0
1083,KY,Lyon,16.0,23.0,"44,767",9.4,78.8,2.24,11744.8,4.0,2.0,4.0,5.0,0.0
1084,KY,McCracken,19.0,26.0,"42,936",12.2,77.1,6.56,65285.0,3.0,5.0,9.0,50.0,1.0
1085,KY,McCreary,39.0,47.0,"25,087",27.8,92.3,9.24,17747.6,2.0,4.0,2.0,4.0,0.0
1086,KY,McLean,17.0,23.0,"43,656",4.4,55.5,5.24,173231.2,2.0,0.0,2.0,1.0,0.0
1087,KY,Madison,21.0,23.0,"45,406",9.2,59.3,5.4799999999999995,353213.4,19.0,40.0,55.0,78.0,6.0
1088,KY,Magoffin,32.0,43.0,"28,996",30.6,89.80000000000001,16.28,12783.2,1.0,1.0,1.0,1.0,0.0
1089,KY,Marion,20.0,27.0,"41,233",20.1,87.6,6.839999999999999,30058.2,2.0,0.0,1.0,4.0,0.0
1090,KY,Marshall,12.0,19.0,"50,165",21.4,83.4,5.720000000000001,94738.2,3.0,17.0,19.0,12.0,15.0
1091,KY,Martin,39.0,44.0,"29,861",10.0,68.5,5.4399999999999995,155718.6,10.0,5.0,14.0,18.0,0.0
1092,KY,Mason,19.0,28.0,"43,683",12.7,85.7,7.92,13904.2,0.0,2.0,2.0,1.0,0.0
1093,KY,Meade,13.0,18.0,"51,893",14.5,78.1,2.76,4295.2,1.0,0.0,1.0,3.0,0.0
1095,KY,Mercer,15.0,21.0,"51,048",8.1,82.5,6.42,15794.4,3.0,2.0,7.0,6.0,6.0
1096,KY,Metcalfe,23.0,37.0,"33,562",24.0,88.6,5.52,9990.2,4.0,2.0,4.0,7.0,0.0
1097,KY,Monroe,23.0,35.0,"33,425",18.0,87.7,9.76,21745.2,3.0,0.0,3.0,3.0,0.0
